osmid,lat,lon,street_count
104356868,40.4733162,-79.989676,1
104357868,40.4591164,-80.052338,1
104358896,40.3874546,-79.9922493,3
104358900,40.3874599,-79.9926816,1
104358920,40.3871298,-79.9934773,1
104359605,40.420893,-79.9700218,3
104359624,40.4179607,-79.9693861,3
104359632,40.4176686,-79.9676936,3
104359690,40.4139397,-79.9651616,1
104360313,40.4465934,-79.9230365,3
104360323,40.4467582,-79.9228705,3
104361037,40.4797748,-80.039088,4
104361652,40.4468267,-79.9400875,3
104361659,40.4467875,-79.9406626,1
104361808,40.4380451,-79.994297,3
104361843,40.4438265,-80.0353902,1
104361854,40.4449476,-80.0351845,4
104362422,40.4444312,-79.926252,3
104362428,40.4444785,-79.9274772,1
104362747,40.4839041,-80.0311207,3
104362823,40.4941426,-80.0078072,3
104362952,40.4057967,-80.0159568,1
104362962,40.4056453,-80.0150294,3
104362974,40.4041903,-80.0158127,1
104363175,40.4649475,-79.9362779,3
104363212,40.4550504,-79.9414726,4
104363319,40.393272,-79.9925149,3
104363613,40.4329451,-80.0190989,3
104363692,40.432767,-80.0129956,3
104363698,40.4316648,-80.013359,3
104364858,40.4564386,-80.0291357,3
104365104,40.4266871,-79.9397756,3
104365108,40.426674,-79.9386081,3
104365201,40.4649656,-80.0286901,3
104367329,40.4185193,-79.9287833,3
104367338,40.4190252,-79.9289135,3
104367373,40.4193204,-79.9291658,3
104367413,40.4185576,-79.9283078,3
104369177,40.4051841,-79.9859418,3
104369552,40.4833588,-79.9362887,4
104369559,40.4820181,-79.9372298,3
104371210,40.4399943,-79.9576053,3
104373095,40.39075,-80.0096226,3
104373105,40.3902255,-80.0075754,3
104373116,40.3913548,-80.008864,3
104373141,40.3923627,-80.009334,3
104373978,40.4288141,-79.896891,4
104374066,40.476507,-80.0114656,3
104374351,40.4505789,-79.8856606,3
104374363,40.4501931,-79.8858731,3
104374372,40.4497895,-79.8861119,3
104374389,40.4496723,-79.8842262,3
104374482,40.4492881,-79.884589,4
104375383,40.4279209,-79.9469269,1
104375405,40.4510447,-79.995794,3
104376228,40.4170495,-80.0190139,3
104376926,40.4890245,-80.0299139,1
104377007,40.4840217,-80.0253993,3
104377022,40.485214,-80.0256206,1
104377324,40.4692459,-79.9176405,3
104377338,40.469367,-79.918072,3
104377348,40.4694865,-79.9185372,4
104377355,40.4696155,-79.9190707,3
104377364,40.4697561,-79.9196009,4
104377374,40.4698967,-79.9201009,3
104377384,40.4706002,-79.918627,1
104378286,40.4703276,-79.9176345,1
104378304,40.4721983,-79.9198789,3
104378307,40.4720309,-79.919176,3
104378313,40.4719792,-79.9189152,1
104378336,40.4717212,-79.9193023,1
104378524,40.4653403,-79.9204019,3
104378536,40.4659796,-79.9199987,1
104378550,40.4575193,-79.942208,3
104378561,40.4579877,-79.9430867,3
104378722,40.4587641,-79.9494061,4
104378729,40.4590861,-79.9491526,3
104379363,40.4452784,-80.0478124,3
104379366,40.4462209,-80.049021,1
104379500,40.4404981,-80.080537,5
104379732,40.4446088,-80.0541566,1
104379768,40.4142469,-80.0285331,4
104380052,40.4160767,-79.9640422,1
104380481,40.4545449,-79.874212,4
104380732,40.4567172,-80.054963,3
104380744,40.4565146,-80.0553374,4
104380755,40.4563147,-80.055708,4
104380773,40.4648642,-79.9813272,3
104381030,40.4481569,-79.898207,3
104381097,40.4686357,-80.0151217,3
104381579,40.4504069,-80.0251194,3
104381908,40.4627159,-80.0303882,3
104383226,40.4529283,-79.9013576,3
104383242,40.4667301,-79.8992201,3
104383247,40.466304,-79.8998402,3
104383257,40.4660273,-79.9001825,3
104383271,40.4668109,-79.9008267,1
104383287,40.4544454,-79.9434396,3
104383297,40.4536225,-79.9412451,1
104383328,40.4448606,-79.9415981,3
104383352,40.4444714,-79.9419585,3
104383496,40.4575735,-79.9904209,3
104383533,40.4201068,-80.0077377,3
104383857,40.4228073,-79.9683012,3
104384486,40.4297178,-80.0496989,4
104384495,40.4300315,-80.0499028,1
104384809,40.4470474,-80.0490498,4
104384856,40.4481006,-80.0508925,3
104385325,40.4170051,-79.9269279,3
104385436,40.4148534,-79.9283292,3
104385444,40.4147482,-79.9285545,3
104385461,40.4145611,-79.9263851,3
104385497,40.4132416,-79.9279889,3
104385508,40.4112137,-79.9280419,4
104386076,40.4554325,-80.027261,3
104386081,40.4548931,-80.0270799,3
104388739,40.4735165,-79.9228998,3
104388748,40.4721879,-79.9237061,3
104391550,40.4379209,-80.05799,3
104391761,40.4403251,-79.9786448,4
104391774,40.4408734,-79.9790684,1
104392856,40.4357968,-80.015751,3
104396521,40.4721241,-79.9427291,3
104397126,40.4019399,-79.9391739,1
104398591,40.4255228,-79.9263189,4
104398605,40.4256031,-79.9267768,3
104398646,40.4498055,-79.9958431,3
104398655,40.4500197,-79.9954475,3
104400082,40.4256138,-79.9187416,3
104400094,40.4258309,-79.9186555,1
104400247,40.4425749,-80.0407458,3
104400264,40.4549497,-79.9953506,3
104400273,40.4552228,-79.9954668,3
104400917,40.4333776,-80.0574591,3
104401091,40.4763125,-79.9893329,3
104402167,40.4793051,-79.9566831,4
104402179,40.4800095,-79.9576449,1
104402191,40.4784818,-80.0386869,3
104402211,40.4787716,-80.0370468,1
104402366,40.4784759,-79.9245459,3
104402461,40.471733,-79.9136119,3
104402480,40.4721902,-79.9132313,1
104403081,40.4539507,-79.9258358,3
104403094,40.4530903,-79.92531,3
104403295,40.4410405,-80.0416697,3
104403754,40.4466044,-80.0395064,1
104403767,40.447067,-80.0388551,3
104439711,40.4458836,-79.9362298,1
104439940,40.4642767,-80.0066222,3
104440570,40.475764,-80.0042138,3
104440581,40.4759477,-80.0039624,1
104440591,40.4761072,-80.0036385,1
104440641,40.4758635,-80.0031031,3
104441571,40.3728617,-79.9166708,3
104441585,40.372588,-79.9149042,3
104441633,40.4541689,-79.8687031,3
104442100,40.4179607,-80.0081333,4
104442105,40.4174236,-80.0098096,3
104442112,40.4170376,-80.0096594,4
104442117,40.4166153,-80.0094234,3
104442122,40.4162228,-80.0092222,3
104442284,40.4178356,-79.9736246,3
104442295,40.4179153,-79.9744065,3
104442738,40.449312,-79.9688401,4
104443172,40.456886,-80.0241639,1
104443185,40.4573918,-80.0243284,3
104443337,40.4685424,-80.0190717,1
104443350,40.4563469,-79.8898783,2
104443366,40.4568248,-79.8917295,4
104443455,40.4679723,-80.0180187,3
104443472,40.4683116,-80.018134,3
104443752,40.4804638,-79.9343558,3
104443766,40.4810468,-79.9341428,3
104446578,40.4723823,-79.8890288,3
104448911,40.3849094,-79.994084,4
104448922,40.3842123,-79.9932772,1
